No.,Time,Source,Destination,,Time 1,Time 2,Delay ( Time 2 - Time 1 ),,Delay 1,Delay 2,,Jitter ( Delay 2 - Delay 1 )
3152,33.362904,192.241.244.202,192.168.43.73,,33.362904,33.488883,0.125979,,0.085671,0.040308,,-0.045363
3153,33.488883,192.168.43.73,161.35.50.91,,33.488883,33.529191,0.040308,,0.026732,0.013576,,-0.013156
3156,33.529191,192.168.43.73,192.241.244.202,,33.529191,33.542767,0.013576,,0.003108,0.010468,,0.00736
3157,33.542767,161.35.50.91,192.168.43.73,,33.542767,33.553235,0.010468,,-0.034116,0.044584,,0.0787
3158,33.553235,192.168.43.73,161.35.50.90,,33.553235,33.597819,0.044584,,0.031254,0.01333,,-0.017924
3159,33.597819,192.241.244.202,192.168.43.73,,33.597819,33.611149,0.01333,,-0.992768,1.006098,,1.998866
3161,33.611149,161.35.50.90,192.168.43.73,,33.611149,34.617247,1.006098,,1.006069,2.9E-05,,-1.00604
3775,34.617247,192.168.43.73,114.125.16.17,,34.617247,34.617276,2.9E-05,,-0.147562,0.147591,,0.295153
3776,34.617276,192.168.43.73,23.43.248.138,,34.617276,34.764867,0.147591,,0.147549,4.2E-05,,-0.147507
3778,34.764867,114.125.16.17,192.168.43.73,,34.764867,34.764909,4.2E-05,,-0.528426,0.528468,,1.056894
3779,34.764909,23.43.248.138,192.168.43.73,,34.764909,35.293377,0.528468,,0.353724,0.174744,,-0.17898
3890,35.293377,192.168.43.73,204.79.197.200,,35.293377,35.468121,0.174744,,0.174628,0.000116,,-0.174512
4175,35.468121,192.168.43.73,35.186.224.25,,35.468121,35.468237,0.000116,,3.8E-05,7.8E-05,,4E-05
4176,35.468237,192.168.43.73,35.186.224.25,,35.468237,35.468315,7.8E-05,,2.4E-05,5.4E-05,,3E-05
4177,35.468315,192.168.43.73,35.186.224.25,,35.468315,35.468369,5.4E-05,,2.3E-05,3.1E-05,,8E-06
4178,35.468369,192.168.43.73,35.186.224.25,,35.468369,35.4684,3.1E-05,,-0.000355,0.000386,,0.000741
4179,35.4684,192.168.43.73,35.186.224.25,,35.4684,35.468786,0.000386,,-0.044845,0.045231,,0.090076
4180,35.468786,192.168.43.73,23.10.16.192,,35.468786,35.514017,0.045231,,0.045231,0,,-0.045231
4214,35.514017,35.186.224.25,192.168.43.73,,35.514017,35.514017,0,,-5.9E-05,5.9E-05,,0.000118
4215,35.514017,35.186.224.25,192.168.43.73,,35.514017,35.514076,5.9E-05,,-0.000171,0.00023,,0.000401
4216,35.514076,35.186.224.25,192.168.43.73,,35.514076,35.514306,0.00023,,5.9E-05,0.000171,,0.000112
4217,35.514306,35.186.224.25,192.168.43.73,,35.514306,35.514477,0.000171,,-0.01365,0.013821,,0.027471
4218,35.514477,35.186.224.25,192.168.43.73,,35.514477,35.528298,0.013821,,-0.006073,0.019894,,0.025967
4268,35.528298,23.10.16.192,192.168.43.73,,35.528298,35.548192,0.019894,,0.019894,0,,-0.019894
4343,35.548192,23.10.16.192,192.168.43.73,,35.548192,35.548192,0,,0,0,,0
4344,35.548192,35.186.224.25,192.168.43.73,,35.548192,35.548192,0,,-0.000124,0.000124,,0.000248
4345,35.548192,23.10.16.192,192.168.43.73,,35.548192,35.548316,0.000124,,1.7E-05,0.000107,,9E-05
4346,35.548316,192.168.43.73,23.10.16.192,,35.548316,35.548423,0.000107,,-8.1E-05,0.000188,,0.000269
4347,35.548423,192.168.43.73,35.186.224.25,,35.548423,35.548611,0.000188,,0.000188,0,,-0.000188
4349,35.548611,35.186.224.25,192.168.43.73,,35.548611,35.548611,0,,0,0,,0
4350,35.548611,35.186.224.25,192.168.43.73,,35.548611,35.548611,0,,-4E-05,4E-05,,8E-05
4351,35.548611,35.186.224.25,192.168.43.73,,35.548611,35.548651,4E-05,,-3.4E-05,7.4E-05,,0.000108
4353,35.548651,192.168.43.73,35.186.224.25,,35.548651,35.548725,7.4E-05,,3.3E-05,4.1E-05,,8E-06
4354,35.548725,192.168.43.73,35.186.224.25,,35.548725,35.548766,4.1E-05,,-0.001649,0.00169,,0.003339
4355,35.548766,192.168.43.73,35.186.224.25,,35.548766,35.550456,0.00169,,0.001636,5.4E-05,,-0.001582
4366,35.550456,35.186.224.25,192.168.43.73,,35.550456,35.55051,5.4E-05,,-0.496962,0.497016,,0.993978
4367,35.55051,192.168.43.73,35.186.224.25,,35.55051,36.047526,0.497016,,0.441156,0.05586,,-0.385296
4466,36.047526,192.168.43.73,114.125.16.33,,36.047526,36.103386,0.05586,,-2.227008,2.282868,,4.509876
4467,36.103386,114.125.16.33,192.168.43.73,,36.103386,38.386254,2.282868,,2.282666,0.000202,,-2.282464
4717,38.386254,192.168.43.73,204.79.197.219,,38.386254,38.386456,0.000202,,9.6E-05,0.000106,,1E-05
4718,38.386456,192.168.43.73,204.79.197.219,,38.386456,38.386562,0.000106,,-0.083876,0.083982,,0.167858
4719,38.386562,192.168.43.73,204.79.197.219,,38.386562,38.470544,0.083982,,0.083982,0,,-0.083982
4726,38.470544,204.79.197.219,192.168.43.73,,38.470544,38.470544,0,,-0.011653,0.011653,,0.023306
4727,38.470544,204.79.197.219,192.168.43.73,,38.470544,38.482197,0.011653,,0.011209,0.000444,,-0.010765
4728,38.482197,204.79.197.219,192.168.43.73,,38.482197,38.482641,0.000444,,-0.041383,0.041827,,0.08321
4729,38.482641,204.79.197.219,192.168.43.73,,38.482641,38.524468,0.041827,,0.030385,0.011442,,-0.018943
4777,38.524468,192.168.43.73,204.79.197.219,,38.524468,38.53591,0.011442,,-0.037739,0.049181,,0.08692
4778,38.53591,204.79.197.219,192.168.43.73,,38.53591,38.585091,0.049181,,-0.919093,0.968274,,1.887367
4780,38.585091,192.168.43.73,204.79.197.219,,38.585091,39.553365,0.968274,,0.918987,0.049287,,-0.8697
4792,39.553365,192.168.43.73,216.239.38.120,,39.553365,39.602652,0.049287,,-0.40268,0.451967,,0.854647
4796,39.602652,216.239.38.120,192.168.43.73,,39.602652,40.054619,0.451967,,0.451696,0.000271,,-0.451425
4926,40.054619,192.168.43.73,204.79.197.203,,40.054619,40.05489,0.000271,,0.000173,9.8E-05,,-7.5E-05
4927,40.05489,192.168.43.73,23.43.248.138,,40.05489,40.054988,9.8E-05,,3E-06,9.5E-05,,9.2E-05
4928,40.054988,192.168.43.73,13.88.28.53,,40.054988,40.055083,9.5E-05,,-1.5E-05,0.00011,,0.000125
4929,40.055083,192.168.43.73,204.79.197.200,,40.055083,40.055193,0.00011,,3.6E-05,7.4E-05,,3.8E-05
4930,40.055193,192.168.43.73,54.225.227.202,,40.055193,40.055267,7.4E-05,,-5E-06,7.9E-05,,8.4E-05
4931,40.055267,192.168.43.73,20.184.57.167,,40.055267,40.055346,7.9E-05,,-2.9E-05,0.000108,,0.000137
4932,40.055346,192.168.43.73,74.125.24.119,,40.055346,40.055454,0.000108,,8E-06,0.0001,,9.2E-05
4933,40.055454,192.168.43.73,114.125.16.33,,40.055454,40.055554,0.0001,,2.6E-05,7.4E-05,,4.8E-05
4934,40.055554,192.168.43.73,114.125.16.17,,40.055554,40.055628,7.4E-05,,-2.5E-05,9.9E-05,,0.000124
